Customer_ID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency
C0001,56,Female,78900.0,53,11
C0002,69,Female,11700.0,71,23
C0003,46,Male,67000.0,10,26
C0004,32,Female,65400.0,45,34
C0005,60,Female,61100.0,17,46
C0006,25,Female,64700.0,26,34
C0007,38,Female,27900.0,85,29
C0008,56,Female,65200.0,92,4
C0009,36,Male,39000.0,62,17
C0010,40,Female,10000.0,46,35
C0011,28,Male,51100.0,64,13
C0012,28,Female,33100.0,2,41
C0013,41,Male,77200.0,54,39
C0014,53,Male,44300.0,65,15
C0015,57,Female,50900.0,51,29
C0016,41,Female,57800.0,53,29
C0017,20,Female,44700.0,36,11
C0018,39,Male,47900.0,26,32
C0019,19,Female,66900.0,29,2
C0020,41,Male,28700.0,21,47
C0021,61,Male,36000.0,11,14
C0022,47,Male,30700.0,40,20
C0023,55,Female,78700.0,11,22
C0024,19,Female,36000.0,36,11
C0025,38,Male,47100.0,59,27
C0026,50,Male,38000.0,39,3
C0027,29,Female,43800.0,99,17
C0028,39,Male,35300.0,54,44
C0029,61,Female,59300.0,98,28
C0030,42,Male,29200.0,55,29
C0031,66,Female,23000.0,24,21
C0032,44,Male,38800.0,22,47
C0033,59,Female,34000.0,69,16
C0034,45,Male,23200.0,56,37
C0035,33,Female,43500.0,33,20
C0036,32,Female,16800.0,36,6
C0037,64,Male,84600.0,20,19
C0038,68,Male,20100.0,83,5
C0039,61,Female,37100.0,99,3
C0040,69,Male,41900.0,81,1
C0041,20,Female,83700.0,62,38
C0042,54,Male,15400.0,98,15
C0043,68,Female,52800.0,73,34
C0044,24,Female,70700.0,26,35
C0045,38,Female,43800.0,66,49
C0046,26,Female,26600.0,73,25
C0047,56,Female,47800.0,73,24
C0048,35,Female,80500.0,40,12
C0049,21,Male,37700.0,17,18
C0050,42,Male,78700.0,1,15
C0051,31,Male,55200.0,89,44
C0052,67,Female,74700.0,61,16
C0053,26,Female,54400.0,43,27
C0054,43,Female,40300.0,42,8
C0055,19,Female,82800.0,25,46
C0056,37,Male,54500.0,39,25
C0057,45,Male,53300.0,35,17
C0058,64,Female,66200.0,3,29
C0059,24,Male,68500.0,44,8
C0060,61,Male,66300.0,51,15
C0061,25,Female,23000.0,94,27
C0062,64,Male,37300.0,98,46
C0063,52,Female,36900.0,12,7
C0064,31,Male,34400.0,19,3
C0065,34,Female,32600.0,44,29
C0066,53,Female,36600.0,59,44
C0067,67,Female,56700.0,49,24
C0068,57,Female,59900.0,61,3
C0069,21,Male,50000.0,17,20
C0070,19,Female,41500.0,74,46
C0071,23,Female,75500.0,57,15
C0072,59,Female,48200.0,55,25
C0073,21,Male,68700.0,47,30
C0074,46,Female,38600.0,12,14
C0075,35,Male,58300.0,62,7
C0076,43,Female,76800.0,80,17
C0077,61,Male,10000.0,88,44
C0078,51,Male,36900.0,83,20
C0079,27,Female,61900.0,8,36
C0080,53,Male,74300.0,95,9
C0081,31,Female,54100.0,21,38
C0082,48,Female,51000.0,81,48
C0083,65,Female,82200.0,87,22
C0084,32,Male,75500.0,80,2
C0085,25,Male,32600.0,70,24
C0086,31,Female,52300.0,72,8
C0087,40,Female,57200.0,25,11
C0088,57,Male,84400.0,82,13
C0089,38,Female,67300.0,89,17
C0090,33,Female,47900.0,12,8
C0091,62,Female,54400.0,15,21
C0092,35,Male,12300.0,59,18
C0093,64,Male,69400.0,26,30
C0094,41,Male,62900.0,26,18
C0095,43,Female,74200.0,47,46
C0096,42,Female,47100.0,32,47
C0097,62,Female,52600.0,10,31
C0098,58,Male,40400.0,16,38
C0099,46,Female,27000.0,71,32
C0100,32,Female,38000.0,17,11
C0101,62,Female,13600.0,23,45
C0102,18,Female,68300.0,26,25
C0103,42,Male,10000.0,85,33
C0104,24,Male,90600.0,86,38
C0105,26,Female,14700.0,7,41
C0106,41,Male,80000.0,14,8
C0107,18,Male,31800.0,79,11
C0108,61,Female,61200.0,7,22
C0109,25,Female,35000.0,9,24
C0110,41,Male,83500.0,48,41
C0111,28,Female,50900.0,72,17
C0112,68,Male,71500.0,59,12
C0113,34,Female,51500.0,87,46
C0114,25,Male,57100.0,93,32
C0115,52,Female,62300.0,82,15
C0116,52,Male,39400.0,95,16
C0117,50,Male,24400.0,94,22
C0118,22,Male,24000.0,39,28
C0119,59,Female,51000.0,99,20
C0120,56,Male,40200.0,18,33
C0121,58,Male,10000.0,59,10
C0122,45,Female,60300.0,17,40
C0123,24,Female,25600.0,14,32
C0124,26,Male,26800.0,31,33
C0125,25,Male,49200.0,24,2
C0126,29,Female,32000.0,99,33
C0127,51,Female,52500.0,60,33
C0128,50,Female,89500.0,45,41
C0129,65,Female,42400.0,98,13
C0130,40,Female,28800.0,3,30
C0131,41,Male,53600.0,37,33
C0132,54,Female,34500.0,43,13
C0133,52,Male,50500.0,40,26
C0134,61,Male,56300.0,90,22
C0135,57,Male,49300.0,55,39
C0136,39,Female,51100.0,87,2
C0137,44,Male,53800.0,39,38
C0138,52,Male,81900.0,15,39
C0139,18,Female,44900.0,4,26
C0140,52,Male,52500.0,93,46
C0141,54,Male,67300.0,86,15
C0142,64,Female,59400.0,25,34
C0143,31,Male,42800.0,13,42
C0144,20,Male,68000.0,82,44
C0145,18,Male,32600.0,33,49
C0146,22,Female,45500.0,16,40
C0147,43,Female,34600.0,42,11
C0148,31,Female,61500.0,66,3
C0149,56,Male,73800.0,55,6
C0150,44,Male,54500.0,99,9
C0151,26,Female,51500.0,42,6
C0152,32,Male,32500.0,34,9
C0153,32,Male,35900.0,30,39
C0154,43,Female,26100.0,13,31
C0155,59,Female,10000.0,13,32
C0156,30,Male,42200.0,18,41
C0157,68,Male,44000.0,32,12
C0158,49,Male,93500.0,96,8
C0159,56,Female,81300.0,99,8
C0160,66,Female,61100.0,39,28
C0161,69,Female,91700.0,46,20
C0162,49,Female,77800.0,29,47
C0163,21,Male,10000.0,62,7
C0164,47,Female,71300.0,93,11
C0165,54,Female,64200.0,62,20
C0166,40,Female,44200.0,57,16
C0167,56,Female,21700.0,16,4
C0168,62,Female,61900.0,56,6
C0169,32,Male,10000.0,10,22
C0170,60,Male,49600.0,30,26
C0171,46,Female,37700.0,25,3
C0172,53,Male,24800.0,84,41
C0173,30,Female,73800.0,5,42
C0174,49,Female,49200.0,65,14
C0175,24,Male,53500.0,94,11
C0176,68,Male,68200.0,49,18
C0177,39,Female,49800.0,3,12
C0178,45,Female,59000.0,45,23
C0179,19,Female,66300.0,14,12
C0180,59,Male,61300.0,30,13
C0181,62,Female,55700.0,68,25
C0182,23,Female,85700.0,18,45
C0183,45,Female,74800.0,62,19
C0184,45,Male,48300.0,37,46
C0185,61,Female,31800.0,25,36
C0186,61,Female,62800.0,48,45
C0187,37,Male,54300.0,65,8
C0188,47,Female,84200.0,53,29
C0189,28,Female,69700.0,79,32
C0190,45,Male,65300.0,73,44
C0191,42,Female,50300.0,15,18
C0192,56,Male,32500.0,49,6
C0193,50,Male,46000.0,88,18
C0194,18,Female,59500.0,68,19
C0195,44,Female,15400.0,12,22
C0196,69,Female,74800.0,59,37
C0197,30,Female,91300.0,37,32
C0198,58,Male,11100.0,61,41
C0199,20,Female,22000.0,43,3
C0200,56,Male,54600.0,70,28
C0201,23,Female,38300.0,39,10
C0202,25,Female,55200.0,56,35
C0203,44,Female,48600.0,63,29
C0204,26,Male,29500.0,46,15
C0205,54,Female,75800.0,88,33
C0206,50,Female,59300.0,11,7
C0207,68,Female,38800.0,62,12
C0208,59,Female,80100.0,77,49
C0209,61,Male,39800.0,98,30
C0210,41,Female,25200.0,25,21
C0211,32,Male,53700.0,71,31
C0212,49,Male,57100.0,52,24
C0213,49,Male,60600.0,4,20
C0214,41,Male,63900.0,59,37
C0215,58,Male,60300.0,72,4
C0216,69,Male,59500.0,20,28
C0217,66,Female,38500.0,93,44
C0218,66,Male,36400.0,63,20
C0219,69,Male,64800.0,54,24
C0220,29,Male,54900.0,74,49
C0221,56,Female,66400.0,98,32
C0222,19,Female,15900.0,57,41
C0223,20,Male,40000.0,90,36
C0224,66,Female,88100.0,41,34
C0225,54,Male,61100.0,3,36
C0226,66,Male,55900.0,6,2
C0227,34,Female,64200.0,5,15
C0228,66,Male,94200.0,5,34
C0229,19,Female,90000.0,54,36
C0230,19,Female,18400.0,47,6
C0231,45,Male,25800.0,87,39
C0232,40,Male,17700.0,49,42
C0233,54,Female,35100.0,9,12
C0234,49,Male,51100.0,99,3
C0235,50,Male,54800.0,20,45
C0236,18,Male,19400.0,61,18
C0237,36,Female,12700.0,35,40
C0238,19,Female,34700.0,50,21
C0239,61,Male,68300.0,82,15
C0240,43,Female,71800.0,62,33
C0241,49,Female,84100.0,17,35
C0242,23,Female,49400.0,88,26
C0243,49,Female,66600.0,3,8
C0244,21,Female,70200.0,32,36
C0245,28,Male,40100.0,99,48
C0246,34,Male,57800.0,13,30
C0247,55,Male,63200.0,89,23
C0248,41,Female,31800.0,73,42
C0249,22,Female,82800.0,68,44
C0250,69,Male,49200.0,14,14
C0251,51,Female,51700.0,98,14
C0252,23,Male,31100.0,11,2
C0253,39,Male,34400.0,56,37
C0254,28,Male,10000.0,67,5
C0255,65,Female,51100.0,92,38
C0256,33,Female,100100.0,29,45
C0257,50,Male,29600.0,9,41
C0258,26,Male,109500.0,67,47
C0259,23,Male,78300.0,25,14
C0260,33,Male,40500.0,98,39
C0261,46,Female,50500.0,76,25
C0262,20,Female,47300.0,42,20
C0263,37,Male,84100.0,9,2
C0264,53,Male,60300.0,79,39
C0265,36,Female,73600.0,40,6
C0266,43,Female,57200.0,25,17
C0267,20,Male,47800.0,5,25
C0268,36,Male,56500.0,11,28
C0269,37,Male,41900.0,59,2
C0270,49,Female,21000.0,98,35
C0271,24,Female,66300.0,88,37
C0272,69,Female,20000.0,79,5
C0273,58,Male,44600.0,38,1
C0274,50,Male,41200.0,72,40
C0275,57,Female,62900.0,5,12
C0276,56,Female,81300.0,48,36
C0277,35,Male,74100.0,90,45
C0278,57,Female,63400.0,18,23
C0279,18,Female,37400.0,70,47
C0280,28,Male,46300.0,37,31
C0281,45,Female,43400.0,60,11
C0282,42,Male,40600.0,48,10
C0283,67,Male,42000.0,77,3
C0284,40,Male,41400.0,28,14
C0285,48,Male,40500.0,69,16
C0286,47,Male,69000.0,77,10
C0287,59,Male,28900.0,81,29
C0288,52,Male,35400.0,40,10
C0289,24,Female,18300.0,45,12
C0290,33,Male,78300.0,96,30
C0291,43,Male,34100.0,62,41
C0292,65,Female,63200.0,93,1
C0293,69,Female,59500.0,58,5
C0294,66,Female,76400.0,67,20
C0295,19,Male,45800.0,56,8
C0296,18,Female,31000.0,40,43
C0297,65,Male,18900.0,98,12
C0298,29,Male,10000.0,40,1
C0299,22,Male,53200.0,91,20
C0300,54,Male,65500.0,77,28
C0301,49,Female,59400.0,33,43
C0302,26,Female,19400.0,6,37
C0303,58,Male,70800.0,88,47
C0304,52,Male,36000.0,19,37
C0305,36,Male,31900.0,80,12
C0306,65,Female,35600.0,40,37
C0307,33,Male,51600.0,92,49
C0308,20,Male,20300.0,97,49
C0309,37,Female,49300.0,59,44
C0310,41,Female,58600.0,59,28
C0311,50,Male,72100.0,48,47
C0312,41,Female,53500.0,41,15
C0313,69,Female,23200.0,13,6
C0314,28,Male,53000.0,45,44
C0315,66,Female,28800.0,89,20
C0316,25,Male,27600.0,53,14
C0317,53,Female,22700.0,42,2
C0318,55,Male,11800.0,63,9
C0319,57,Male,38700.0,27,37
C0320,37,Male,72600.0,38,20
C0321,52,Female,95100.0,60,26
C0322,65,Male,38500.0,7,29
C0323,42,Female,71700.0,5,1
C0324,52,Male,42100.0,45,35
C0325,42,Male,17000.0,58,6
C0326,46,Female,64000.0,31,37
C0327,35,Male,54700.0,23,5
C0328,63,Male,86400.0,42,33
C0329,35,Female,19300.0,10,49
C0330,19,Male,105900.0,32,14
C0331,52,Male,81800.0,53,12
C0332,33,Male,49600.0,30,42
C0333,58,Male,44000.0,39,20
C0334,53,Female,35700.0,31,24
C0335,50,Female,52200.0,82,43
C0336,21,Male,46300.0,2,34
C0337,50,Female,60300.0,78,25
C0338,31,Male,44100.0,77,29
C0339,38,Female,78300.0,93,39
C0340,65,Male,52500.0,12,31
C0341,37,Male,44900.0,39,47
C0342,25,Male,70500.0,66,43
C0343,24,Male,17500.0,96,23
C0344,20,Male,56800.0,13,44
C0345,34,Male,50500.0,46,38
C0346,50,Female,21800.0,27,20
C0347,65,Male,15800.0,17,23
C0348,29,Female,70200.0,95,45
C0349,68,Male,69300.0,98,16
C0350,39,Female,53500.0,60,42
C0351,39,Female,84300.0,64,8
C0352,63,Female,58800.0,88,21
C0353,47,Male,75000.0,35,1
C0354,55,Male,58400.0,70,8
C0355,55,Female,44500.0,83,29
C0356,62,Male,28800.0,30,32
C0357,68,Female,37900.0,71,38
C0358,25,Male,44900.0,74,5
C0359,44,Female,77300.0,96,47
C0360,44,Female,65400.0,98,22
C0361,51,Male,56600.0,63,47
C0362,38,Female,67400.0,28,34
C0363,47,Male,60500.0,60,1
C0364,50,Female,55200.0,79,26
C0365,45,Female,20000.0,94,43
C0366,64,Male,72800.0,37,10
C0367,50,Male,40800.0,93,30
C0368,22,Male,71800.0,22,18
C0369,65,Female,73700.0,68,17
C0370,36,Male,36600.0,20,26
C0371,21,Female,69000.0,96,8
C0372,52,Female,42800.0,68,47
C0373,66,Male,42900.0,91,40
C0374,34,Male,55100.0,64,49
C0375,61,Female,55700.0,17,12
C0376,45,Female,50800.0,12,27
C0377,47,Male,23300.0,22,8
C0378,46,Male,47600.0,17,25
C0379,63,Male,95600.0,10,46
C0380,23,Male,10000.0,65,4
C0381,52,Male,67400.0,22,33
C0382,58,Female,71100.0,90,1
C0383,54,Female,22800.0,82,19
C0384,41,Female,40600.0,50,31
C0385,46,Female,30000.0,14,16
C0386,66,Male,87100.0,64,14
C0387,63,Male,72100.0,47,48
C0388,48,Male,73000.0,29,5
C0389,52,Female,52400.0,76,41
C0390,50,Female,76200.0,36,26
C0391,69,Male,49800.0,99,28
C0392,38,Male,77200.0,52,2
C0393,49,Female,47000.0,76,6
C0394,40,Female,36400.0,7,9
C0395,50,Male,86200.0,29,33
C0396,20,Male,49600.0,11,41
C0397,35,Female,32000.0,33,25
C0398,42,Male,31800.0,6,48
C0399,59,Male,31900.0,79,13
C0400,48,Male,66900.0,32,9
