Customer_ID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency,Gender_Encoded,Cluster
C0001,56,Female,78900.0,53,11,1,1
C0002,69,Female,11700.0,71,23,1,2
C0003,46,Male,67000.0,10,26,0,1
C0004,32,Female,65400.0,45,34,1,0
C0005,60,Female,61100.0,17,46,1,1
C0006,25,Female,64700.0,26,34,1,0
C0007,38,Female,27900.0,85,29,1,2
C0008,56,Female,65200.0,92,4,1,2
C0009,36,Male,39000.0,62,17,0,0
C0010,40,Female,10000.0,46,35,1,3
C0011,28,Male,51100.0,64,13,0,0
C0012,28,Female,33100.0,2,41,1,3
C0013,41,Male,77200.0,54,39,0,0
C0014,53,Male,44300.0,65,15,0,2
C0015,57,Female,50900.0,51,29,1,2
C0016,41,Female,57800.0,53,29,1,0
C0017,20,Female,44700.0,36,11,1,3
C0018,39,Male,47900.0,26,32,0,3
C0019,19,Female,66900.0,29,2,1,0
C0020,41,Male,28700.0,21,47,0,3
C0021,61,Male,36000.0,11,14,0,3
C0022,47,Male,30700.0,40,20,0,3
C0023,55,Female,78700.0,11,22,1,1
C0024,19,Female,36000.0,36,11,1,3
C0025,38,Male,47100.0,59,27,0,0
C0026,50,Male,38000.0,39,3,0,3
C0027,29,Female,43800.0,99,17,1,0
C0028,39,Male,35300.0,54,44,0,3
C0029,61,Female,59300.0,98,28,1,2
C0030,42,Male,29200.0,55,29,0,3
C0031,66,Female,23000.0,24,21,1,3
C0032,44,Male,38800.0,22,47,0,3
C0033,59,Female,34000.0,69,16,1,2
C0034,45,Male,23200.0,56,37,0,3
C0035,33,Female,43500.0,33,20,1,3
C0036,32,Female,16800.0,36,6,1,3
C0037,64,Male,84600.0,20,19,0,1
C0038,68,Male,20100.0,83,5,0,2
C0039,61,Female,37100.0,99,3,1,2
C0040,69,Male,41900.0,81,1,0,2
C0041,20,Female,83700.0,62,38,1,0
C0042,54,Male,15400.0,98,15,0,2
C0043,68,Female,52800.0,73,34,1,2
C0044,24,Female,70700.0,26,35,1,0
C0045,38,Female,43800.0,66,49,1,0
