Date,Product_ID,Store_ID,Units_Sold,Revenue,Promotion,Holiday
2024-01-01,PRD001,ST01,207.0,1828.65,0,0
2024-01-02,PRD001,ST01,241.0,2825.09,1,0
2024-01-03,PRD001,ST01,226.0,1913.2,0,0
2024-01-04,PRD001,ST01,232.0,2614.59,0,0
2024-01-05,PRD001,ST01,194.0,1847.36,0,0
2024-01-06,PRD001,ST01,207.0,2382.96,0,1
2024-01-07,PRD001,ST01,238.0,2730.39,0,1
2024-01-08,PRD001,ST01,218.0,2446.77,0,0
2024-01-09,PRD001,ST01,213.0,2377.11,0,0
2024-01-10,PRD001,ST01,232.0,2138.74,0,0
2024-01-11,PRD001,ST01,209.0,1739.65,0,0
2024-01-12,PRD001,ST01,227.0,2181.91,1,0
2024-01-13,PRD001,ST01,251.0,2182.22,1,1
2024-01-14,PRD001,ST01,192.0,2069.72,0,1
2024-01-15,PRD001,ST01,188.0,1764.27,0,0
2024-01-16,PRD001,ST01,218.0,2594.73,0,0
2024-01-17,PRD001,ST01,215.0,2271.24,0,0
2024-01-18,PRD001,ST01,258.0,2912.8,1,0
2024-01-19,PRD001,ST01,197.0,1680.43,0,0
2024-01-20,PRD001,ST01,203.0,2323.96,0,1
2024-01-21,PRD001,ST01,250.0,2922.76,0,1
2024-01-22,PRD001,ST01,217.0,2158.77,0,0
2024-01-23,PRD001,ST01,234.0,2439.45,0,0
2024-01-24,PRD001,ST01,216.0,2388.8,0,0
2024-01-25,PRD001,ST01,222.0,1931.26,0,0
2024-01-26,PRD001,ST01,219.0,2192.25,0,0
2024-01-27,PRD001,ST01,213.0,2043.66,0,1
2024-01-28,PRD001,ST01,240.0,2060.52,0,1
2024-01-29,PRD001,ST01,218.0,2064.49,0,0
2024-01-30,PRD001,ST01,235.0,1944.08,0,0
2024-01-31,PRD001,ST01,234.0,1896.16,0,0
2024-02-01,PRD001,ST01,264.0,2254.74,0,0
2024-02-02,PRD001,ST01,224.0,2654.95,0,0
2024-02-03,PRD001,ST01,221.0,2253.78,0,1
2024-02-04,PRD001,ST01,253.0,3001.41,0,1
2024-02-05,PRD001,ST01,245.0,2383.85,1,0
2024-02-06,PRD001,ST01,249.0,2302.57,0,0
2024-02-07,PRD001,ST01,220.0,2205.4,0,0
2024-02-08,PRD001,ST01,222.0,2166.29,0,0
2024-02-09,PRD001,ST01,233.0,1962.48,0,0
2024-02-10,PRD001,ST01,254.0,2683.08,0,1
2024-02-11,PRD001,ST01,249.0,2207.17,0,1
2024-02-12,PRD001,ST01,237.0,2483.37,0,0
2024-02-13,PRD001,ST01,247.0,2618.4,0,0
2024-02-14,PRD001,ST01,233.0,2005.69,0,0
2024-02-15,PRD001,ST01,237.0,1954.16,0,0
2024-02-16,PRD001,ST01,229.0,2547.18,0,0
2024-02-17,PRD001,ST01,264.0,2597.55,0,1
2024-02-18,PRD001,ST01,257.0,2115.79,0,1
2024-02-19,PRD001,ST01,218.0,2611.52,0,0
2024-02-20,PRD001,ST01,262.0,2156.55,0,0
2024-02-21,PRD001,ST01,255.0,2748.94,0,0
2024-02-22,PRD001,ST01,243.0,2900.14,0,0
2024-02-23,PRD001,ST01,250.0,2239.18,0,0
2024-02-24,PRD001,ST01,269.0,2305.06,0,1
2024-02-25,PRD001,ST01,271.0,2299.58,0,1
2024-02-26,PRD001,ST01,237.0,2183.5,0,0
2024-02-27,PRD001,ST01,257.0,2159.88,0,0
2024-02-28,PRD001,ST01,271.0,2918.3,0,0
2024-02-29,PRD001,ST01,273.0,2252.02,0,0
2024-03-01,PRD001,ST01,269.0,2700.14,1,0
2024-03-02,PRD001,ST01,256.0,3068.62,0,1
2024-03-03,PRD001,ST01,275.0,3095.37,1,1
2024-03-04,PRD001,ST01,236.0,2468.77,0,0
2024-03-05,PRD001,ST01,279.0,2573.78,0,0
2024-03-06,PRD001,ST01,290.0,3043.72,0,0
2024-03-07,PRD001,ST01,292.0,2951.58,1,0
2024-03-08,PRD001,ST01,265.0,2571.65,0,0
2024-03-09,PRD001,ST01,268.0,2284.12,0,1
2024-03-10,PRD001,ST01,256.0,2955.88,0,1
2024-03-11,PRD001,ST01,264.0,2586.97,0,0
2024-03-12,PRD001,ST01,294.0,2580.88,0,0
2024-03-13,PRD001,ST01,274.0,2595.06,0,0
2024-03-14,PRD001,ST01,290.0,2800.39,0,0
2024-03-15,PRD001,ST01,215.0,2431.68,0,0
2024-03-16,PRD001,ST01,309.0,3378.75,1,1
2024-03-17,PRD001,ST01,301.0,3334.24,1,1
2024-03-18,PRD001,ST01,257.0,2067.34,0,0
2024-03-19,PRD001,ST01,275.0,2657.77,0,0
2024-03-20,PRD001,ST01,278.0,2759.25,1,0
2024-03-21,PRD001,ST01,266.0,2148.42,0,0
2024-03-22,PRD001,ST01,263.0,2377.32,0,0
2024-03-23,PRD001,ST01,322.0,3555.25,1,1
2024-03-24,PRD001,ST01,265.0,2265.34,0,1
2024-03-25,PRD001,ST01,253.0,2565.73,0,0
2024-03-26,PRD001,ST01,269.0,2383.56,0,0
2024-03-27,PRD001,ST01,324.0,2607.71,1,0
2024-03-28,PRD001,ST01,307.0,2752.2,1,0
2024-03-29,PRD001,ST01,282.0,3356.79,1,0
2024-03-30,PRD001,ST01,280.0,3137.72,0,1
2024-03-31,PRD001,ST01,307.0,3634.36,1,1
2024-04-01,PRD001,ST01,282.0,2806.3,0,0
2024-04-02,PRD001,ST01,269.0,2270.08,0,0
2024-04-03,PRD001,ST01,278.0,2833.33,0,0
2024-04-04,PRD001,ST01,269.0,2640.91,0,0
2024-04-05,PRD001,ST01,240.0,2730.58,0,0
